_id,ONDERWIJSBESTUURID,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDERGROEPID,ONDERWIJSBEGELEIDINGSAANBIEDERID,BEGINDATUM,EINDDATUM,CONTEXT,SUBCONTEXT_NUMMER,SUBCONTEXT,CONTACTNAAM,EMAILADRES,FAXNUMMER,TELEFOONNUMMER,WEBADRES,BEZOEKNL_STRAATNAAM,BEZOEKNL_HUISNUMMER,BEZOEKNL_HUISNUMMERTOEVOEGING,BEZOEKNL_POSTCODE,BEZOEKNL_PLAATSNAAM,POSTNL_STRAATNAAM,POSTNL_HUISNUMMER,POSTNL_HUISNUMMERTOEVOEGING,POSTNL_POSTCODE,POSTNL_PLAATSNAAM,BEZOEKBTL_ADRESREGEL_EEN,BEZOEKBTL_ADRESREGEL_TWEE,BEZOEKBTL_ADRESREGEL_DRIE,BEZOEKBTL_LANDNAAM,POSTBTL_ADRESREGEL_EEN,POSTBTL_ADRESREGEL_TWEE,POSTBTL_ADRESREGEL_DRIE,POSTBTL_LANDNAAM
38,100B214,,,,1900-01-01T00:00:00,,ALGEMEEN,1,,,,,0186646566,,W. van Vlietstraat,6,,3262GM,OUD-BEIJERLAND,Postbus,2003,,3260EA,OUD-BEIJERLAND,,,,,,,,
39,100B215,,,,2005-03-09T00:00:00,,ALGEMEEN,1,,,,,0203460690,,Marius Bauerstraat,399,c,1062AP,AMSTERDAM,Marius Bauerstraat,399,c,1062AP,AMSTERDAM,,,,,,,,
40,100B216,,,,1984-01-01T00:00:00,,ALGEMEEN,1,,,,,0365491549,,Keerkringplein,18,,1334BS,ALMERE,Postbus,200,,1300AE,ALMERE,,,,,,,,
41,100B218,,,,1997-02-06T00:00:00,,ALGEMEEN,1,,,,,0765293737,,Claudius Prinsenlaan,10,,4811DJ,BREDA,Postbus,1149,,4801BC,BREDA,,,,,,,,
42,100B219,,,,2002-06-06T00:00:00,,ALGEMEEN,1,,,,,0102821700,,Slagveld,36,,3231AP,BRIELLE,Postbus,23058,,3001KB,ROTTERDAM,,,,,,,,
43,100B220,,,,1900-01-01T00:00:00,,ALGEMEEN,1,,,,,0345477700,,Markt,1,,4101BW,CULEMBORG,Postbus,136,,4100AC,CULEMBORG,,,,,,,,
44,100B221,,,,2004-02-18T00:00:00,,ALGEMEEN,1,,,,,0318675111,,Rudolf van Diepholtstraat,21,A,7415XZ,DEVENTER,Postbus,5000,,7400GC,DEVENTER,,,,,,,,
45,100B223,,,,2004-01-08T00:00:00,,ALGEMEEN,1,,,,,0786321616,,Papeterspad,46,,3311WT,DORDRECHT,Postbus,116,,3300AC,DORDRECHT,,,,,,,,
46,100B225,,,,1900-01-01T00:00:00,,ALGEMEEN,1,,,,,0534884492,,J.J. van Deinselaan,34,-34A,7541PE,ENSCHEDE,Postbus,612,,7500AP,ENSCHEDE,,,,,,,,
47,100B228,,,,1999-07-09T00:00:00,,ALGEMEEN,1,,,,,0182588211,,Agnietenstraat,24,,2801HX,GOUDA,Postbus,1086,,2800BB,GOUDA,,,,,,,,
48,100B230,,,,2004-03-04T00:00:00,,ALGEMEEN,1,,,,,0235115484,,Richard Holkade,16,,2033PZ,HAARLEM,Postbus,800,,2003RV,HAARLEM,,,,,,,,
49,100B232,,,,2002-11-13T00:00:00,,ALGEMEEN,1,,,,,0223540359,,Drs. F. Bijlweg,20,,1784MC,DEN HELDER,Postbus,636,,1780AP,DEN HELDER,,,,,,,,
50,100B234,,,,2006-01-01T00:00:00,,ALGEMEEN,1,,,,,0742459777,http://www.hengelo.nl,Hazenweg,121,,7556BM,HENGELO OV,Postbus,18,,7550AA,HENGELO OV,,,,,,,,
51,100B236,,,,1973-10-01T00:00:00,,ALGEMEEN,1,,,,,0528291911,,Raadhuisplein,1,,7901BP,HOOGEVEEN,Raadhuisplein,1,,7901BP,HOOGEVEEN,,,,,,,,
52,100B239,,,,2004-06-10T00:00:00,,ALGEMEEN,1,,,,,0433505050,,Markt,78,,6211CL,MAASTRICHT,Postbus,1992,,6201BZ,MAASTRICHT,,,,,,,,
53,100B247,,,,2006-04-25T00:00:00,,ALGEMEEN,1,,,,,0264979330,http://www.oor-basisscholen.nl,Hoofdstraat,3,,6994AB,DE STEEG,Boecoplaan,1,,6994AP,DE STEEG,,,,,,,,
54,100B253,,,,2009-02-01T00:00:00,,ALGEMEEN,1,,,,,0222363072,http://www.dehogeberg.nl,Haffelderweg,40,,1791AS,DEN BURG,Postbus,153,,1790AD,DEN BURG,,,,,,,,
55,100B254,,,,1997-03-19T00:00:00,,ALGEMEEN,1,,,,,0344618246,,Kersenboogerd,2,-4,4003BW,TIEL,Postbus,6325,,4000HH,TIEL,,,,,,,,
56,100B255,,,,2006-01-24T00:00:00,,ALGEMEEN,1,,,,,0599696390,,Hoogveen,1,,9501XK,STADSKANAAL,Postbus,310,,9500AH,STADSKANAAL,,,,,,,,
57,100B256,,,,2012-08-07T00:00:00,,ALGEMEEN,1,,,,,0318538538,http://www.veenendaal.nl,Raadhuisplein,1,,3901GA,VEENENDAAL,Postbus,1100,,3900BC,VEENENDAAL,,,,,,,,
58,100B258,,,,2004-12-13T00:00:00,,ALGEMEEN,1,,,,,0317492911,,Markt,22,,6701CZ,WAGENINGEN,Postbus,6597,,6503GB,NIJMEGEN,,,,,,,,
59,100B261,,,,1998-01-13T00:00:00,,ALGEMEEN,1,,,,,0793469189,,Markt,2,,2711CZ,ZOETERMEER,Postbus,15,,2700AA,ZOETERMEER,,,,,,,,
60,100B262,,,,2003-05-15T00:00:00,,ALGEMEEN,1,,,,,0384982214,,Lubeckplein,2,,8017JZ,ZWOLLE,Postbus,10007,,8000GA,ZWOLLE,,,,,,,,
61,100B264,,,,1900-01-01T00:00:00,,ALGEMEEN,1,,,,,0206909050,,Gulden Kruis,5,,1103BE,AMSTERDAM,Gulden Kruis,5,,1103BE,AMSTERDAM,,,,,,,,
62,100B265,,,,2013-03-28T00:00:00,,ALGEMEEN,1,,,,,0320278911,http://www.lelystad.nl,Stadhuisplein,2,,8232ZX,LELYSTAD,Postbus,2382,,8203AJ,LELYSTAD,,,,,,,,
63,100B266,,,,2000-01-25T00:00:00,,ALGEMEEN,1,,,,,0321388360,,De Rede,1,,8251ER,DRONTEN,Postbus,100,,8250AC,DRONTEN,,,,,,,,
64,100B268,,,,1900-01-01T00:00:00,,ALGEMEEN,1,,,,,0527633911,,Nijverheidstraat,5,,8301AD,EMMELOORD,Postbus,155,,8300AD,EMMELOORD,,,,,,,,
65,100B273,,,,2026-01-22T00:00:00,,ALGEMEEN,1,,,info@nassauvincent.nl,,0592 394195,https://www.nassauvincent.nl,Salland,4,,9405GM,Assen,POSTBUS,226,,9400AE,Assen,,,,,,,,
66,100B275,,,,1999-01-01T00:00:00,,ALGEMEEN,1,,,,,0228350800,,Boendersveld,3,,1602DK,ENKHUIZEN,Boendersveld,3,,1602DK,ENKHUIZEN,,,,,,,,
67,100B283,,,,1993-08-01T00:00:00,,ALGEMEEN,1,,,,,0521512641,,Lijsterbesstraat,1,,8331NS,STEENWIJK,Postbus,168,,8330AD,STEENWIJK,,,,,,,,
68,100B284,,,,1993-08-01T00:00:00,,ALGEMEEN,1,,,,,0582883377,,Dr. Jacob Botkeweg,3,,8935AB,LEEUWARDEN,Postbus,9002,,8903LA,LEEUWARDEN,,,,,,,,
69,100B287,,,,1997-10-02T00:00:00,,ALGEMEEN,1,,,,,0118479400,,Weyevlietplein,7,-13,4385CH,VLISSINGEN,Postbus,69,,4380AB,VLISSINGEN,,,,,,,,
70,100B292,,,,1994-08-01T00:00:00,,ALGEMEEN,1,,,,,0517412702,,Koningin Julianastraat,3,,8862TA,HARLINGEN,Postbus,53,,8860AB,HARLINGEN,,,,,,,,
71,100B295,,,,2020-02-19T00:00:00,,ALGEMEEN,1,,,post@minkema.nl,,0348484100,http://www.minkema.nl,Minkemalaan,1,,3446GL,WOERDEN,Postbus,2120,,3440DC,WOERDEN,,,,,,,,
72,100B297,,,,2001-12-10T00:00:00,,ALGEMEEN,1,,,,,0115612155,http://www.derede.nl,Oude Vaart,1,,4537CD,TERNEUZEN,Postbus,375,,4530AJ,TERNEUZEN,,,,,,,,
73,100B299,,,,2023-06-12T00:00:00,,ALGEMEEN,1,,,g.geerling@waerdenborch.nl,,0548378383,http://www.waerdenborch.nl,Haarstraat,14,,7451CZ,HOLTEN,Postbus,49,,7450AA,HOLTEN,,,,,,,,
74,100B300,,,,1994-04-01T00:00:00,,ALGEMEEN,1,,,,,,,Vlisterweg,22,,2871VH,SCHOONHOVEN,Vlisterweg,22,,2871VH,SCHOONHOVEN,,,,,,,,
75,100B301,,,,1993-11-15T00:00:00,,ALGEMEEN,1,,,,,0152565200,,Juniusstraat,8,,2625XZ,DELFT,Postbus,470,,2600AL,DELFT,,,,,,,,
76,100B315,,,,1998-12-04T00:00:00,,ALGEMEEN,1,,,,,0243563974,,Lamastraat,61,,6531PP,NIJMEGEN,Postbus,31091,,6503CB,NIJMEGEN,,,,,,,,
77,100B319,,,,1993-08-06T00:00:00,,ALGEMEEN,1,,,,,0302314541,,Oudegracht,189,,3511NE,UTRECHT,Oudegracht,189,,3511NE,UTRECHT,,,,,,,,
78,100B321,,,,1994-12-30T00:00:00,,ALGEMEEN,1,,,,,0344633375,,Laan van Westroijen,4,,4003AZ,TIEL,Postbus,365,,4000AJ,TIEL,,,,,,,,
79,100B325,,,,2015-02-23T00:00:00,,ALGEMEEN,1,,,,,0104780129,http://www.eurocollege.nl,Westblaak,139,,3012KJ,ROTTERDAM,Westblaak,139,,3012KJ,ROTTERDAM,,,,,,,,
80,100B327,,,,2001-02-22T00:00:00,,ALGEMEEN,1,,,,,0104399399,,Posthumalaan,90,,3072AG,ROTTERDAM,Postbus,23145,,3001KC,ROTTERDAM,,,,,,,,
81,100B331,,,,2023-06-07T00:00:00,,ALGEMEEN,1,,,bestuur@cvo.nl,,0102171399,http://www.cvo.nl,Henegouwerplein,14,,3021PM,ROTTERDAM,Postbus,2152,,3000CD,ROTTERDAM,,,,,,,,
82,100B335,,,,2022-05-02T00:00:00,,ALGEMEEN,1,,,bestuur@jbo.nl,,0206444191,http://www.jbo.nl,Nieuw Herlaer,18,,1083BD,Amsterdam,Postbus,87058,,1080JB,AMSTERDAM,,,,,,,,
83,100B337,,,,1900-01-01T00:00:00,,ALGEMEEN,1,,,,,0263238811,,Schepen Bierwischstraat,5,-21,6831HZ,ARNHEM,Postbus,318,,6800AH,ARNHEM,,,,,,,,
84,100B339,,,,2020-03-04T00:00:00,,ALGEMEEN,1,,Leerlingenadministratie,directie@spieringshoek.nl,,0104706422,http://www.spieringshoek.nl,Van der Brugghenlaan,2,,3118LA,SCHIEDAM,Van der Brugghenlaan,2,,3118LA,Schiedam,,,,,,,,
85,100B342,,,,1986-06-12T00:00:00,,ALGEMEEN,1,,,,,0235617287,,Assumburg,10,,2135BA,HOOFDDORP,Postbus,254,,2130AG,HOOFDDORP,,,,,,,,
86,100B347,,,,1987-01-01T00:00:00,,ALGEMEEN,1,,,,,0570616074,,Kleine Poot,18,,7411PE,DEVENTER,Postbus,639,,7400AP,DEVENTER,,,,,,,,
87,100B349,,,,2012-08-10T00:00:00,,ALGEMEEN,1,,,,,0118489000,http://www.hz.nl,Edisonweg,4,,4382NW,VLISSINGEN,Postbus,364,,4380AJ,VLISSINGEN,,,,,,,,
88,100B353,,,,1987-06-12T00:00:00,,ALGEMEEN,1,,,,,0449450895,,Agnes Printhagenstraat,2,,6161EK,GELEEN,Agnes Printhagenstraat,2,,6161EK,GELEEN,,,,,,,,
89,100B354,,,,1985-07-03T00:00:00,,ALGEMEEN,1,,,,,0725129324,,Oudegracht,291,,1811CK,ALKMAAR,Oudegracht,291,,1811CK,ALKMAAR,,,,,,,,
90,100B355,,,,1987-05-22T00:00:00,,ALGEMEEN,1,,,,,0773731149,,Sint Annastraat,83,,5932BV,TEGELEN,Sint Annastraat,83,,5932BV,TEGELEN,,,,,,,,
91,100B356,,,,1987-05-18T00:00:00,,ALGEMEEN,1,,,,,0297321052,,Zwarteweg,123,,1431VL,AALSMEER,Postbus,111,,1430AC,AALSMEER,,,,,,,,
92,100B357,,,,1987-04-16T00:00:00,,ALGEMEEN,1,,,,,,,Tegelseweg,70,,5912BJ,VENLO,Roermondsestraat,29,,5912AH,VENLO,,,,,,,,
93,100B358,,,,1997-11-12T00:00:00,,ALGEMEEN,1,,,,,0402833156,,Park,1,,5671GA,NUENEN,Postbus,321,,5670AH,NUENEN,,,,,,,,
94,100B359,,,,1987-05-27T00:00:00,,ALGEMEEN,1,,,,,0512386222,,Hoofdstraat,82,,9244CR,BEETSTERZWAAG,Hoofdstraat,82,,9244CR,BEETSTERZWAAG,,,,,,,,
95,100B362,,,,1987-07-10T00:00:00,,ALGEMEEN,1,,,,,0306916928,,Torenlaan,8,,3701VJ,ZEIST,Torenlaan,8,,3701VJ,ZEIST,,,,,,,,
96,100B371,,,,1900-01-01T00:00:00,,ALGEMEEN,1,,,,,0348429944,,De Bleek,1,,3447GV,WOERDEN,Catharinaland,184,,2591CR,'S-GRAVENHAGE,,,,,,,,
97,100B373,,,,2013-01-01T00:00:00,,ALGEMEEN,1,,,,,0348420132,http://www.shm.nl,Johan de Wittlaan,11,,3445AG,WOERDEN,Postbus,394,,3440AJ,WOERDEN,,,,,,,,
98,100B374,,,,2023-02-14T00:00:00,,ALGEMEEN,1,,,m.faas@sws-dh.nl,,0615312582,http://www.speciaalonderwijsdenhelder.nl,Drs. F. Bijlweg,8,A,1784MC,DEN HELDER,Drs. F. Bijlweg,8,A,1784MC,DEN HELDER,,,,,,,,
99,100B379,,,,2022-02-25T00:00:00,,ALGEMEEN,1,,,,,0880193000,http://www.saxion.nl,M.H. Tromplaan,30,,7513AB,ENSCHEDE,Postbus,70000,,7500KB,ENSCHEDE,,,,,,,,
100,100B380,,,,2023-07-12T00:00:00,,ALGEMEEN,1,,,c.h.nugteren@delagewaard.nl,,0786442040,http://www.delagewaard.nl,Vijzellaan,4,,3352VH,PAPENDRECHT,Postbus,1100,,3350CC,PAPENDRECHT,,,,,,,,
101,100B384,,,,2012-06-19T00:00:00,,ALGEMEEN,1,,,,,0416333416,http://www.met-pro.nl,Koetshuislaan,1,,5146BA,WAALWIJK,Postbus,88,,5140AB,WAALWIJK,,,,,,,,
102,100B386,,,,1989-06-12T00:00:00,,ALGEMEEN,1,,,,,0512519035,,Burgemeester Wuiteweg,55,,9203KA,DRACHTEN,Postbus,112,,9200AC,DRACHTEN,,,,,,,,
103,100B390,,,,2022-01-25T00:00:00,,ALGEMEEN,1,,,info@eduvier.nl,,0320252378,http://www.eduvier.nl,De Schans,1901,,8231KM,LELYSTAD,Postbus,2344,,8203AH,LELYSTAD,,,,,,,,
104,100B392,,,,1999-05-10T00:00:00,,ALGEMEEN,1,,,,,0356892000,,Arena,301,,1213NW,HILVERSUM,Arena,301,,1213NW,HILVERSUM,,,,,,,,
105,100B394,,,,1977-11-28T00:00:00,,ALGEMEEN,1,,,,,0306567200,,Brouwersstraat,3,,7941BN,MEPPEL,Postbus,119,,3980CC,BUNNIK,,,,,,,,
106,100B395,,,,1989-07-16T00:00:00,,ALGEMEEN,1,,,,,0314335079,,Prins Hendrikstraat,34,A,7001GL,DOETINCHEM,Prins Hendrikstraat,34,A,7001GL,DOETINCHEM,,,,,,,,
107,100B396,,,,1987-12-22T00:00:00,,ALGEMEEN,1,,,,,0549023078,,Nieuwstraat,171,,7605AD,ALMELO,Nieuwstraat,171,,7605AD,ALMELO,,,,,,,,
108,100B397,,,,2024-11-20T00:00:00,,AANMELDEN,9,Vraag naar de functioneel specialist,Informatiemanagement,collegevanbestuur@firda.nl,,0582849360,http://www.firda.nl,Stadionplein,23,,8914BX,Leeuwarden,POSTBUS,654,,8901BL,Leeuwarden,,,,,,,,
109,100B397,,,,2024-11-20T00:00:00,,ALGEMEEN,1,Vraag naar de bestuurssecretaris,Secretariaat,collegevanbestuur@firda.nl,,0582849360,http://www.firda.nl,Stadionplein,23,,8914BX,Leeuwarden,POSTBUS,654,,8901BL,Leeuwarden,,,,,,,,
110,100B401,,,,2023-06-20T00:00:00,,ALGEMEEN,1,,,mdhaan@develsteincollege.nl,,0786194566,http://www.develsteincollege.nl,Develsingel,5,,3333LD,ZWIJNDRECHT,Postbus,377,,3330AJ,ZWIJNDRECHT,,,,,,,,
111,100B402,,,,1988-10-21T00:00:00,,ALGEMEEN,1,,,,,0592357057,,Bergweg,3,,7731AC,OMMEN,Bergweg,3,,7731AC,OMMEN,,,,,,,,
112,100B404,,,,1998-08-04T00:00:00,,ALGEMEEN,1,,,,,0570673767,,Singel,25,,7411HW,DEVENTER,Postbus,6261,,7401JG,DEVENTER,,,,,,,,
113,100B405,,,,1997-08-19T00:00:00,,ALGEMEEN,1,,,,,0464202626,,Arendstraat,12,,6135KT,SITTARD,Postbus,5280,,6130PG,SITTARD,,,,,,,,
114,100B406,,,,2012-11-23T00:00:00,,ALGEMEEN,1,,,,,0736249624,http://www.kw1c.nl,Vlijmenseweg,2,,5223GW,'S-HERTOGENBOSCH,Postbus,122,,5201AC,'S-HERTOGENBOSCH,,,,,,,,
115,100B408,,,,2025-04-25T00:00:00,,AANMELDEN,2,Centraal adviespunt,Studenten Adviespunt 013,studentenadviespunt@yonder.nl,,013-5397010,http://www.yonder.nl/opleidingen,Stappegoorweg,183,,5022DD,Tilburg,POSTBUS,1330,,5004BH,Tilburg,,,,,,,,
116,100B408,,,,2024-10-09T00:00:00,,ALGEMEEN,1,,,bestuurssecretariaat@yonder.nl,,013-5397090,http://www.yonder.nl,Stappegoorweg,183,,5022DD,TILBURG,Postbus,1330,,5004BH,TILBURG,,,,,,,,
